groups,n_groups,n_features,auc
CrossAsset + Drawdown + Eigenvalue + Returns + Topology + Volatility,6,39,0.9758064516129032
Eigenvalue + Momentum + TailRisk + Topology,4,25,0.9758064516129032
Correlation + CrossAsset + Eigenvalue + Momentum + TailRisk + Topology,6,37,0.9758064516129032
Correlation + Dynamics + Eigenvalue + Returns + TailRisk + Volatility,6,67,0.9758064516129032
CrossAsset + Drawdown + Eigenvalue + Returns + TailRisk + Volatility,6,43,0.9758064516129032
CrossAsset + Eigenvalue + Returns + Volatility,4,34,0.9758064516129032
Drawdown + Eigenvalue + Momentum + Returns,4,25,0.9758064516129032
Drawdown + Momentum + Returns + TailRisk + Topology,5,23,0.9758064516129032
Correlation + CrossAsset + Dynamics + Returns + TailRisk + Topology + Volatility,7,65,0.9758064516129032
CrossAsset + Returns + TailRisk + Volatility,4,30,0.9758064516129032
Drawdown + Eigenvalue + Momentum + Topology,4,22,0.9758064516129032
CrossAsset + Drawdown + Topology,3,11,0.9758064516129032
Correlation + CrossAsset + Drawdown + Returns + TailRisk + Volatility,6,39,0.9758064516129032
Correlation + Drawdown + Momentum + Returns + TailRisk + Topology,6,29,0.9758064516129032
Correlation + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk + Topology,7,59,0.9758064516129032
Correlation + Drawdown + Eigenvalue + Momentum,4,26,0.9758064516129032
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk + Volatility,8,76,0.9758064516129032
Drawdown + Momentum + Topology,3,12,0.9758064516129032
Correlation + Dynamics + Returns + TailRisk,4,44,0.9758064516129032
Drawdown + Dynamics + Eigenvalue + Returns + TailRisk + Topology + Volatility,7,66,0.9758064516129032
Drawdown + Returns + TailRisk,3,14,0.9758064516129032
Eigenvalue + Momentum + Returns + Topology,4,24,0.9758064516129032
Drawdown + Dynamics + Returns + TailRisk + Topology,5,43,0.9758064516129032
Returns,1,5,0.9758064516129032
CrossAsset + Drawdown + Eigenvalue + Volatility,4,32,0.9758064516129032
Correlation + CrossAsset + Drawdown + Returns + Topology + Volatility,6,35,0.9758064516129032
Correlation + Drawdown + Dynamics + Eigenvalue + Returns,5,51,0.9758064516129032
Correlation + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk,6,57,0.9758064516129032
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + Returns + Topology,7,39,0.9758064516129032
CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk,6,57,0.9758064516129032
CrossAsset + Dynamics + Eigenvalue + Returns + TailRisk + Topology,6,56,0.9758064516129032
Drawdown + Eigenvalue + Momentum + Returns + Topology,5,27,0.9758064516129032
Correlation + Drawdown + Dynamics + Eigenvalue + Momentum + TailRisk,6,59,0.9758064516129032
CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + TailRisk + Topology,8,66,0.9758064516129032
Correlation + CrossAsset + Returns + Topology + Volatility,5,32,0.9758064516129032
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + TailRisk,6,38,0.9758064516129032
Drawdown + Momentum + Returns + Topology,4,17,0.9758064516129032
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + Topology,7,59,0.9758064516129032
Correlation + CrossAsset + Drawdown + Eigenvalue + Returns + TailRisk + Topology + Volatility,8,51,0.9758064516129032
Eigenvalue + Momentum + TailRisk + Topology + Volatility,5,38,0.9758064516129032
Dynamics + Eigenvalue + Returns + Topology,4,44,0.9758064516129032
Correlation + CrossAsset + Drawdown + Eigenvalue + Returns + Topology,6,32,0.9758064516129032
CrossAsset + Drawdown + Eigenvalue + Momentum + Returns + TailRisk + Topology,7,39,0.9758064516129032
Drawdown + Eigenvalue + Momentum + TailRisk,4,26,0.9758064516129032
Correlation + Returns + Volatility,3,24,0.9758064516129032
Correlation + CrossAsset + Drawdown + Returns + Topology,5,22,0.9758064516129031
Correlation + Returns,2,11,0.9758064516129031
Correlation + Drawdown + Eigenvalue + Topology,4,21,0.9717741935483871
Eigenvalue + Returns,2,15,0.9717741935483871
Correlation + Dynamics + Eigenvalue + Returns + TailRisk + Topology,6,56,0.9717741935483871
Correlation + CrossAsset + Eigenvalue + Returns + Volatility,5,40,0.9717741935483871
CrossAsset + Momentum + Returns + TailRisk + Topology,5,26,0.9717741935483871
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + Returns,6,37,0.9717741935483871
Dynamics + Eigenvalue + Returns + TailRisk + Topology,5,50,0.9717741935483871
Correlation + CrossAsset + Drawdown + Dynamics + TailRisk + Topology + Volatility,7,63,0.9717741935483871
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk + Topology,8,65,0.9717741935483871
Correlation + CrossAsset + Drawdown + Dynamics + Returns + TailRisk + Topology,7,55,0.9717741935483871
CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk + Topology,7,59,0.9717741935483871
Correlation + Drawdown + Dynamics + Returns + TailRisk + Topology,6,49,0.9717741935483871
Correlation + CrossAsset + Returns,3,17,0.9717741935483871
Drawdown + Dynamics + Eigenvalue + Momentum + Returns + TailRisk,6,58,0.9717741935483871
CrossAsset + Drawdown + Returns + TailRisk + Topology,5,22,0.9717741935483871
Correlation + Drawdown + Eigenvalue + Momentum + Returns + TailRisk,6,37,0.9717741935483871
Correlation + Drawdown + Eigenvalue + Topology + Volatility,5,34,0.9717741935483871
Correlation + Drawdown + Eigenvalue + Momentum + Returns + TailRisk + Topology + Volatility,8,52,0.9717741935483871
Momentum + Returns + TailRisk,3,18,0.9717741935483871
Correlation + Momentum + Returns + TailRisk,4,24,0.9717741935483871
Correlation + CrossAsset + Momentum + Returns + TailRisk,5,30,0.9717741935483871
Returns + TailRisk + Topology + Volatility,4,26,0.9717741935483871
Correlation + Drawdown + Eigenvalue + Returns,4,24,0.9717741935483871
CrossAsset + Drawdown + Eigenvalue + Momentum + Returns,5,31,0.9717741935483871
Correlation + CrossAsset + Dynamics + Returns + TailRisk + Volatility,6,63,0.9717741935483871
Correlation + Drawdown + Momentum + Returns,4,21,0.9717741935483871
Correlation + CrossAsset + Returns + Topology,4,19,0.9717741935483871
Drawdown + Volatility,2,16,0.9717741935483871
CrossAsset + Returns + Topology,3,13,0.9717741935483871
Correlation + Eigenvalue + Returns + TailRisk + Topology + Volatility,6,42,0.9717741935483871
Correlation + CrossAsset + Dynamics + Volatility,4,52,0.9717741935483871
Correlation + Drawdown + Dynamics + Eigenvalue + TailRisk + Topology,6,54,0.9717741935483871
Correlation + CrossAsset + Returns + TailRisk + Volatility,5,36,0.9717741935483871
Correlation + Drawdown + Eigenvalue + Momentum + Returns + Topology,6,33,0.9717741935483871
Correlation + Drawdown + Eigenvalue + Momentum + Topology,5,28,0.9717741935483871
Correlation + Returns + TailRisk + Volatility,4,30,0.9717741935483871
Drawdown + Eigenvalue + Returns + TailRisk + Volatility,5,37,0.9717741935483871
Correlation + Drawdown + Eigenvalue + Momentum + Returns,5,31,0.9717741935483871
Correlation + CrossAsset + Drawdown + Eigenvalue + Returns,5,30,0.9717741935483871
Correlation + Drawdown + TailRisk + Topology + Volatility,5,30,0.9717741935483871
Drawdown + Dynamics + Eigenvalue + Momentum + Returns + TailRisk + Topology,7,60,0.9717741935483871
Drawdown + Dynamics + Eigenvalue + Returns,4,45,0.971774193548387
Drawdown + TailRisk + Topology + Volatility,4,24,0.971774193548387
Correlation + Drawdown + Returns,3,14,0.971774193548387
Correlation + Eigenvalue + Returns,3,21,0.971774193548387
CrossAsset + Drawdown + Eigenvalue + Returns + TailRisk + Topology + Volatility,7,45,0.971774193548387
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + Returns + TailRisk + Topology,8,45,0.971774193548387
Correlation + CrossAsset + Drawdown + TailRisk + Topology + Volatility,6,36,0.971774193548387
Drawdown + Momentum,2,10,0.967741935483871
Correlation + Dynamics + Eigenvalue + Returns + TailRisk + Topology + Volatility,7,69,0.967741935483871
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + TailRisk + Volatility,7,71,0.967741935483871
CrossAsset + Drawdown + Eigenvalue + Topology + Volatility,5,34,0.967741935483871
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk,7,63,0.967741935483871
Correlation + CrossAsset + Eigenvalue + Momentum + Returns + TailRisk + Topology,7,42,0.967741935483871
Correlation + Drawdown + Dynamics + TailRisk + Topology,5,44,0.967741935483871
Correlation + CrossAsset + Drawdown + TailRisk + Volatility,5,34,0.967741935483871
Drawdown + Eigenvalue + Momentum + Returns + TailRisk + Topology + Volatility,7,46,0.967741935483871
Correlation + CrossAsset + Returns + TailRisk + Topology + Volatility,6,38,0.967741935483871
Correlation + Drawdown + TailRisk + Volatility,4,28,0.967741935483871
Drawdown + Dynamics + Eigenvalue + Returns + TailRisk,5,51,0.967741935483871
Correlation + CrossAsset + Drawdown + Eigenvalue + Volatility,5,38,0.967741935483871
Eigenvalue + Returns + TailRisk + Topology + Volatility,5,36,0.967741935483871
CrossAsset + Drawdown + Eigenvalue + TailRisk + Volatility,5,38,0.967741935483871
CrossAsset + Drawdown + TailRisk + Topology,4,17,0.967741935483871
Correlation + Drawdown + Dynamics + Eigenvalue + TailRisk,5,52,0.967741935483871
Correlation + CrossAsset + Eigenvalue + Returns + Topology,5,29,0.967741935483871
CrossAsset + Eigenvalue + Returns + Topology,4,23,0.967741935483871
CrossAsset + Dynamics + Eigenvalue + Volatility,4,56,0.967741935483871
CrossAsset + Eigenvalue + Momentum + TailRisk + Topology,5,31,0.967741935483871
Drawdown + Momentum + TailRisk + Topology,4,18,0.967741935483871
Correlation + Eigenvalue + Momentum + TailRisk + Topology,5,31,0.967741935483871
Correlation + Eigenvalue + Momentum + Returns + TailRisk,5,34,0.967741935483871
CrossAsset + Returns + TailRisk + Topology + Volatility,5,32,0.967741935483871
Correlation + Returns + TailRisk + Topology + Volatility,5,32,0.967741935483871
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + Returns + TailRisk + Volatility,8,56,0.967741935483871
Eigenvalue + Returns + Topology + Volatility,4,30,0.967741935483871
Eigenvalue + Returns + TailRisk + Volatility,4,34,0.967741935483871
Correlation + Drawdown + Returns + TailRisk + Volatility,5,33,0.967741935483871
Correlation + Drawdown + Dynamics + Eigenvalue + TailRisk + Topology + Volatility,7,67,0.967741935483871
Dynamics + Returns + TailRisk + Topology,4,40,0.967741935483871
Eigenvalue + Momentum + Returns,3,22,0.967741935483871
Correlation + Momentum + Returns + TailRisk + Topology,5,26,0.967741935483871
Dynamics + Eigenvalue + Returns + TailRisk + Volatility,5,61,0.967741935483871
Correlation + CrossAsset + Dynamics + Eigenvalue + Returns + TailRisk + Volatility,7,73,0.967741935483871
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + Returns + TailRisk,7,43,0.967741935483871
CrossAsset + Drawdown + Eigenvalue,3,19,0.9677419354838709
CrossAsset + Dynamics + Topology + Volatility,4,48,0.9677419354838709
Correlation + Drawdown + Eigenvalue,3,19,0.9637096774193549
Correlation + Drawdown + Returns + TailRisk + Topology + Volatility,6,35,0.9637096774193549
CrossAsset + Drawdown + Eigenvalue + Returns + TailRisk + Topology,6,32,0.9637096774193549
Correlation + CrossAsset + Drawdown + Eigenvalue,4,25,0.9637096774193549
Correlation + CrossAsset + Dynamics + Topology + Volatility,5,54,0.9637096774193549
Drawdown + Returns,2,8,0.9637096774193549
Drawdown + Dynamics + Eigenvalue + TailRisk + Topology,5,48,0.9637096774193549
Correlation + Eigenvalue + Returns + Topology,4,23,0.9637096774193549
CrossAsset + Drawdown + Eigenvalue + TailRisk + Topology + Volatility,6,40,0.9637096774193549
Correlation + CrossAsset + Eigenvalue + Momentum + Returns + TailRisk,6,40,0.9637096774193549
Drawdown + Eigenvalue + Momentum + Returns + TailRisk + Topology,6,33,0.9637096774193549
CrossAsset + TailRisk,2,12,0.9637096774193548
Correlation + CrossAsset + Dynamics + Returns + TailRisk,5,50,0.9637096774193548
Correlation + CrossAsset + Drawdown + Eigenvalue + Returns + TailRisk + Volatility,7,49,0.9637096774193548
CrossAsset + Dynamics + Volatility,3,46,0.9637096774193548
Correlation + CrossAsset + Eigenvalue + Returns + TailRisk + Topology + Volatility,7,48,0.9596774193548387
Drawdown + Eigenvalue + Momentum + TailRisk + Topology,5,28,0.9596774193548387
Correlation + Drawdown + Eigenvalue + Momentum + TailRisk,5,32,0.9596774193548387
Correlation + Drawdown + Eigenvalue + Returns + Topology,5,26,0.9596774193548387
CrossAsset + Drawdown + Dynamics + Eigenvalue + TailRisk + Topology,6,54,0.9596774193548387
CrossAsset + Eigenvalue + Returns + TailRisk + Topology + Volatility,6,42,0.9596774193548387
Dynamics + Eigenvalue + Returns + TailRisk,4,48,0.9596774193548387
Correlation + CrossAsset + Dynamics + TailRisk + Topology,5,47,0.9596774193548387
Drawdown + Eigenvalue + Momentum + Returns + TailRisk,5,31,0.9596774193548387
Correlation + Drawdown + Eigenvalue + Momentum + Returns + TailRisk + Topology,7,39,0.9596774193548387
Drawdown + TailRisk,2,9,0.9596774193548387
Correlation + CrossAsset + Dynamics + Eigenvalue + Returns + TailRisk + Topology + Volatility,8,75,0.9596774193548387
Correlation + Drawdown + Eigenvalue + Volatility,4,32,0.9596774193548387
Correlation + Drawdown + Dynamics + Eigenvalue + TailRisk + Volatility,6,65,0.9596774193548387
CrossAsset + Drawdown + Eigenvalue + Momentum + Returns + TailRisk,6,37,0.9596774193548386
CrossAsset + Dynamics + Eigenvalue + Returns + TailRisk,5,54,0.9596774193548386
CrossAsset + Dynamics + TailRisk + Topology + Volatility,5,54,0.9596774193548386
Correlation + CrossAsset + Dynamics + Returns + TailRisk + Topology,6,52,0.9596774193548386
Drawdown + Eigenvalue + Returns + Topology,4,20,0.9596774193548386
Drawdown + Eigenvalue + Returns + TailRisk + Topology + Volatility,6,39,0.9596774193548386
Drawdown + Eigenvalue + Topology + Volatility,4,28,0.9596774193548386
Correlation + Drawdown + Eigenvalue + Momentum + TailRisk + Topology,6,34,0.9596774193548386
Correlation + CrossAsset + Dynamics + Eigenvalue + Returns + TailRisk,6,60,0.9596774193548386
Correlation + Drawdown + Returns + TailRisk + Topology,5,22,0.9556451612903226
CrossAsset + Eigenvalue + Topology,3,18,0.9556451612903226
Correlation + CrossAsset + Drawdown + Returns + TailRisk + Topology,6,28,0.9556451612903226
Correlation + Dynamics + Eigenvalue + Returns + TailRisk,5,54,0.9556451612903226
CrossAsset + Eigenvalue + Returns + TailRisk + Volatility,5,40,0.9556451612903226
Drawdown + Returns + Topology,3,10,0.9556451612903226
Correlation + Drawdown + Returns + Topology,4,16,0.9556451612903226
Dynamics + TailRisk + Topology,3,35,0.9556451612903226
Correlation + CrossAsset + Dynamics + TailRisk + Volatility,5,58,0.9556451612903226
Correlation + Drawdown + Eigenvalue + Returns + TailRisk + Volatility,6,43,0.9556451612903225
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + TailRisk + Topology + Volatility,8,73,0.9556451612903225
Dynamics + TailRisk + Topology + Volatility,4,48,0.9556451612903225
CrossAsset + Returns + TailRisk + Topology,4,19,0.9556451612903225
Drawdown + Eigenvalue + Volatility,3,26,0.9556451612903225
Correlation + CrossAsset + Eigenvalue + Returns + TailRisk + Volatility,6,46,0.9516129032258065
CrossAsset + Dynamics,2,33,0.9516129032258065
Correlation + CrossAsset + Drawdown + Returns + TailRisk,5,26,0.9516129032258065
Correlation + CrossAsset + Volatility,3,25,0.9516129032258065
Correlation + CrossAsset + Returns + TailRisk,4,23,0.9516129032258065
CrossAsset + Topology + Volatility,3,21,0.9516129032258064
Correlation + Drawdown + Eigenvalue + Returns + TailRisk + Topology + Volatility,7,45,0.9516129032258064
Correlation + CrossAsset + Dynamics + TailRisk + Topology + Volatility,6,60,0.9516129032258064
CrossAsset + TailRisk + Topology + Volatility,4,27,0.9516129032258064
Returns + TailRisk + Volatility,3,24,0.9516129032258064
Correlation + Dynamics + Returns + TailRisk + Topology,5,46,0.9516129032258064
Correlation + CrossAsset + Returns + TailRisk + Topology,5,25,0.9516129032258064
Correlation + Drawdown,2,9,0.9516129032258064
Correlation + CrossAsset + Dynamics,3,39,0.9475806451612904
Correlation + CrossAsset + Topology + Volatility,4,27,0.9475806451612904
Correlation + CrossAsset + Drawdown + Eigenvalue + TailRisk + Volatility,6,44,0.9475806451612903
Dynamics + TailRisk + Volatility,3,46,0.9475806451612903
CrossAsset + Returns + TailRisk,3,17,0.9475806451612903
Correlation + Dynamics + Eigenvalue + Topology + Volatility,5,58,0.9475806451612903
Correlation + CrossAsset + Dynamics + Eigenvalue + Topology + Volatility,6,64,0.9475806451612903
CrossAsset + Volatility,2,19,0.9475806451612903
CrossAsset + Dynamics + Eigenvalue + Topology + Volatility,5,58,0.9475806451612903
Drawdown + Eigenvalue + Returns,3,18,0.9475806451612903
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + TailRisk + Topology,7,60,0.9435483870967742
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + TailRisk,6,58,0.9435483870967742
Correlation + CrossAsset + TailRisk,3,18,0.9435483870967742
Correlation + CrossAsset + Drawdown + TailRisk + Topology,5,23,0.9435483870967742
Correlation + Drawdown + Topology,3,11,0.9435483870967742
Correlation + Eigenvalue + Returns + TailRisk + Volatility,5,40,0.9435483870967742
Correlation + CrossAsset + Dynamics + Eigenvalue + Topology,5,51,0.9435483870967742
Returns + TailRisk + Topology,3,13,0.9435483870967742
Drawdown + Eigenvalue + TailRisk + Topology + Volatility,5,34,0.9435483870967741
Correlation + CrossAsset + Dynamics + Eigenvalue + Volatility,5,62,0.9435483870967741
Dynamics + Eigenvalue + Volatility,3,50,0.9435483870967741
Correlation + CrossAsset + Drawdown + Eigenvalue + TailRisk + Topology + Volatility,7,46,0.9435483870967741
CrossAsset + Dynamics + Eigenvalue,3,43,0.9435483870967741
Drawdown + TailRisk + Topology,3,11,0.9435483870967741
Correlation + Dynamics + Volatility,3,46,0.9435483870967741
Correlation + Drawdown + Eigenvalue + TailRisk + Volatility,5,38,0.9435483870967741
CrossAsset + Dynamics + TailRisk + Volatility,4,52,0.9435483870967741
CrossAsset + Drawdown + Eigenvalue + Returns + TailRisk,5,30,0.9435483870967741
Correlation + CrossAsset + Drawdown + Eigenvalue + TailRisk,5,31,0.9395161290322581
CrossAsset + Dynamics + TailRisk + Topology,4,41,0.9395161290322581
Correlation + Drawdown + Eigenvalue + Returns + TailRisk + Topology,6,32,0.939516129032258
Correlation + CrossAsset + Eigenvalue + Returns + TailRisk,5,33,0.939516129032258
CrossAsset + Eigenvalue + Returns + TailRisk,4,27,0.939516129032258
Dynamics + Eigenvalue + TailRisk + Volatility,4,56,0.939516129032258
Returns + TailRisk,2,11,0.939516129032258
Correlation + Dynamics + TailRisk + Topology + Volatility,5,54,0.939516129032258
Correlation + CrossAsset + Dynamics + Topology,4,41,0.939516129032258
Correlation + Drawdown + Eigenvalue + TailRisk + Topology + Volatility,6,40,0.939516129032258
Drawdown + Eigenvalue,2,13,0.939516129032258
CrossAsset + TailRisk + Volatility,3,25,0.939516129032258
Correlation + Drawdown + TailRisk + Topology,4,17,0.939516129032258
Dynamics + Eigenvalue + Topology + Volatility,4,52,0.939516129032258
Correlation + Dynamics + TailRisk,3,39,0.939516129032258
CrossAsset + Topology,2,8,0.939516129032258
Correlation + CrossAsset + TailRisk + Topology + Volatility,5,33,0.939516129032258
Drawdown + Eigenvalue + Returns + TailRisk + Topology,5,26,0.935483870967742
TailRisk + Volatility,2,19,0.935483870967742
Correlation + Drawdown + TailRisk,3,15,0.9354838709677419
CrossAsset + Drawdown + Eigenvalue + TailRisk + Topology,5,27,0.9354838709677419
Correlation + CrossAsset + Dynamics + Eigenvalue + TailRisk + Volatility,6,68,0.9354838709677419
Drawdown + Returns + TailRisk + Topology,4,16,0.9354838709677419
CrossAsset + TailRisk + Topology,3,14,0.9354838709677419
Correlation + CrossAsset,2,12,0.9354838709677419
Drawdown + Eigenvalue + TailRisk + Volatility,4,32,0.9354838709677419
Correlation + CrossAsset + Dynamics + Eigenvalue + Returns + TailRisk + Topology,7,62,0.9354838709677419
Correlation + CrossAsset + Drawdown + TailRisk,4,21,0.9354838709677419
Correlation + Drawdown + Eigenvalue + TailRisk,4,25,0.9354838709677419
Correlation + Drawdown + Eigenvalue + Returns + TailRisk,5,30,0.9354838709677419
CrossAsset + Dynamics + Eigenvalue + TailRisk,4,49,0.9354838709677419
Correlation + Dynamics + Eigenvalue + Volatility,4,56,0.9314516129032258
Correlation + CrossAsset + TailRisk + Volatility,4,31,0.9314516129032258
CrossAsset + Eigenvalue,2,16,0.9314516129032258
Correlation + Returns + TailRisk + Topology,4,19,0.9314516129032258
TailRisk + Topology + Volatility,3,21,0.9314516129032258
Dynamics + TailRisk,2,33,0.9274193548387097
Correlation + CrossAsset + Drawdown + Eigenvalue + TailRisk + Topology,6,33,0.9274193548387097
Correlation + CrossAsset + Eigenvalue + Returns + TailRisk + Topology,6,35,0.9274193548387096
Correlation + CrossAsset + Dynamics + TailRisk,4,45,0.9274193548387096
CrossAsset + Eigenvalue + TailRisk + Volatility,4,35,0.9274193548387096
Correlation + CrossAsset + Dynamics + Eigenvalue,4,49,0.9274193548387096
CrossAsset + Eigenvalue + Returns + TailRisk + Topology,5,29,0.9274193548387096
Eigenvalue + Returns + TailRisk + Topology,4,23,0.9274193548387096
Drawdown + Eigenvalue + Returns + TailRisk,4,24,0.9274193548387096
Correlation + CrossAsset + Drawdown + Eigenvalue + Returns + TailRisk,6,36,0.9274193548387096
Correlation + CrossAsset + Eigenvalue + Volatility,4,35,0.9274193548387096
Drawdown + Topology,2,5,0.9274193548387096
CrossAsset + Drawdown + Eigenvalue + TailRisk,4,25,0.9233870967741936
Dynamics + Topology + Volatility,3,42,0.9233870967741936
Dynamics + Eigenvalue + TailRisk + Topology + Volatility,5,58,0.9233870967741935
Correlation + CrossAsset + Drawdown + Eigenvalue + Returns + TailRisk + Topology,7,38,0.9233870967741935
CrossAsset + Dynamics + Eigenvalue + Topology,4,45,0.9233870967741935
Drawdown + Eigenvalue + Topology,3,15,0.9233870967741935
Correlation + CrossAsset + Dynamics + Eigenvalue + TailRisk + Topology + Volatility,7,70,0.9233870967741935
Drawdown,1,3,0.9233870967741935
Correlation + CrossAsset + Eigenvalue + Topology + Volatility,5,37,0.9233870967741935
Volatility,1,13,0.9193548387096775
Correlation + Drawdown + Returns + TailRisk,4,20,0.9193548387096775
Drawdown + Eigenvalue + TailRisk + Topology,4,21,0.9193548387096775
Dynamics + Volatility,2,40,0.9193548387096775
Correlation + CrossAsset + Eigenvalue + Topology,4,24,0.9193548387096774
Correlation + Dynamics + TailRisk + Volatility,4,52,0.9193548387096774
Correlation + CrossAsset + Topology,3,14,0.9193548387096774
Drawdown + Eigenvalue + TailRisk,3,19,0.9193548387096774
Correlation + Dynamics + Topology + Volatility,4,48,0.9193548387096774
CrossAsset + Eigenvalue + Volatility,3,29,0.9193548387096774
Eigenvalue + Returns + TailRisk,3,21,0.9153225806451613
Correlation + Returns + TailRisk,3,17,0.9153225806451613
Correlation + Dynamics + Eigenvalue + TailRisk + Topology,5,51,0.9153225806451613
Correlation + Eigenvalue + Returns + TailRisk + Topology,5,29,0.9153225806451613
CrossAsset + Dynamics + Topology,3,35,0.9153225806451613
CrossAsset + Dynamics + Eigenvalue + TailRisk + Topology + Volatility,6,64,0.9153225806451613
CrossAsset + Dynamics + Eigenvalue + TailRisk + Volatility,5,62,0.9153225806451613
Correlation + CrossAsset + Eigenvalue + TailRisk + Topology + Volatility,6,43,0.9153225806451613
TailRisk,1,6,0.9112903225806452
Correlation + CrossAsset + Eigenvalue,3,22,0.9112903225806451
Correlation + Drawdown + Eigenvalue + TailRisk + Topology,5,27,0.9112903225806451
CrossAsset + Eigenvalue + Topology + Volatility,4,31,0.9072580645161291
Correlation + TailRisk + Volatility,3,25,0.907258064516129
Correlation + Dynamics + Eigenvalue + TailRisk + Topology + Volatility,6,64,0.907258064516129
CrossAsset + Eigenvalue + TailRisk + Topology + Volatility,5,37,0.907258064516129
Correlation + Eigenvalue + TailRisk + Topology + Volatility,5,37,0.9032258064516129
Correlation + CrossAsset + TailRisk + Topology,4,20,0.8991935483870968
Correlation + CrossAsset + Dynamics + Eigenvalue + TailRisk + Topology,6,57,0.8991935483870968
Correlation + Dynamics + Eigenvalue + TailRisk + Volatility,5,62,0.8991935483870968
Correlation + Eigenvalue + Volatility,3,29,0.8951612903225807
Correlation + TailRisk + Topology + Volatility,4,27,0.8951612903225806
Correlation + CrossAsset + Eigenvalue + TailRisk,4,28,0.8951612903225806
Correlation + Eigenvalue + Returns + TailRisk,4,27,0.8911290322580646
CrossAsset + Eigenvalue + TailRisk + Topology,4,24,0.8911290322580645
Correlation + CrossAsset + Eigenvalue + TailRisk + Volatility,5,41,0.8911290322580645
Topology + Volatility,2,15,0.8911290322580645
Eigenvalue + TailRisk + Topology + Volatility,4,31,0.8870967741935484
CrossAsset,1,6,0.8870967741935484
Correlation + Topology + Volatility,3,21,0.8830645161290323
Eigenvalue + Volatility,2,23,0.8830645161290323
Correlation + Eigenvalue + TailRisk + Volatility,4,35,0.8790322580645161
Correlation + CrossAsset + Dynamics + Eigenvalue + TailRisk,5,55,0.8790322580645161
CrossAsset + Dynamics + Eigenvalue + TailRisk + Topology,5,51,0.8790322580645161
Eigenvalue + Topology + Volatility,3,25,0.8790322580645161
Correlation + Volatility,2,19,0.8790322580645161
Correlation + Dynamics + TailRisk + Topology,4,41,0.875
Eigenvalue + TailRisk + Volatility,3,29,0.8709677419354839
Correlation + Eigenvalue + Topology + Volatility,4,31,0.8709677419354839
TailRisk + Topology,2,8,0.8548387096774194
Correlation + TailRisk,2,12,0.8508064516129032
Correlation + CrossAsset + Eigenvalue + TailRisk + Topology,5,30,0.8387096774193549
CrossAsset + Eigenvalue + TailRisk,3,22,0.8387096774193549
Correlation + TailRisk + Topology,3,14,0.8387096774193549
Dynamics + Eigenvalue + TailRisk,3,43,0.8306451612903226
Correlation + Dynamics + Eigenvalue + TailRisk,4,49,0.8104838709677419
Dynamics + Eigenvalue + TailRisk + Topology,4,45,0.7983870967741936
Correlation + Eigenvalue + TailRisk + Topology,4,24,0.7943548387096774
Eigenvalue + TailRisk + Topology,3,18,0.7741935483870968
Eigenvalue + TailRisk,2,16,0.7741935483870968
Correlation + Eigenvalue + TailRisk,3,22,0.7540322580645161
Correlation + Dynamics + Topology,3,35,0.6935483870967742
Correlation + Dynamics,2,33,0.685483870967742
Dynamics + Eigenvalue + Topology,3,39,0.6532258064516129
Correlation + Dynamics + Eigenvalue,3,43,0.5524193548387097
Dynamics + Eigenvalue,2,37,0.5443548387096774
Dynamics,1,27,0.5443548387096774
Correlation + Dynamics + Eigenvalue + Topology,4,45,0.4879032258064516
Correlation + Eigenvalue,2,16,0.4879032258064516
Correlation,1,6,0.38306451612903225
Eigenvalue,1,10,0.37298387096774194
Dynamics + Topology,2,29,0.3709677419354839
Correlation + Topology,2,8,0.3689516129032258
Correlation + Eigenvalue + Topology,3,18,0.2943548387096774
Eigenvalue + Topology,2,12,0.280241935483871
Topology,1,2,0.04233870967741932
